"ID","Prefecture","Q1","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q5","Q6","Q7","Q29","Q36","Q41","Q42_1","Q42_2","Q42_3","Q42_4","Q43_1","Q43_2","Q43_3","Q43_4","Q43_5","Q43_6","Q43_7","Q43_8","Q43_9","Q43_10","Q43_11","Q43_12","Q43_13","Q43_14","Q43_15","Q44_1","Q44_2","Q44_3","Q45_1_LDP","Q45_1_CDP","Q45_1_JRP","Q45_2_LDP","Q45_2_CDP","Q45_2_JRP","Q45_3_LDP","Q45_3_CDP","Q45_3_JRP","Q46_1","Q46_2","Q46_3","Q47","Q48","Q49_1","Q49_2","Q50","Q51","Q52","Q53","Q54"
479,"12",2,1,1,0,0,0,0,0,6,6,3,2,1,12,1,5,1,1,3,3,3,3,4,3,4,4,3,2,4,2,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,13,6,66,3,4,1,1,6
480,"12",2,0,1,0,0,1,1,0,6,2,3,2,2,12,99,99,99,99,3,4,1,3,4,2,1,4,3,4,3,5,1,1,4,2,4,4,1,4,5,1,1,1,4,1,1,2,5,2,1,2,6,66,1,5,1,3,4
481,"12",2,1,1,0,0,1,0,0,6,3,3,99,1,1,7,4,6,3,3,3,1,4,4,2,3,3,1,3,3,3,2,2,2,3,5,3,1,2,2,2,3,3,4,2,3,1,3,1,1,10,2,3,2,5,1,3,5
482,"12",2,0,1,0,0,1,0,0,1,12,3,1,1,1,6,1,5,3,1,2,1,1,3,99,2,2,2,4,2,3,99,1,1,2,4,2,2,4,2,1,5,2,3,2,3,2,1,1,1,8,2,2,3,3,1,1,5
483,"12",1,0,1,0,0,0,0,0,1,1,2,1,1,1,6,2,2,1,1,3,1,1,1,1,1,5,1,1,5,1,3,3,3,5,5,5,1,3,3,1,1,1,3,3,3,1,1,1,2,11,6,66,2,1,1,5,4
484,"12",1,1,1,1,0,1,0,0,1,1,1,1,1,1,9,3,6,7,1,2,3,2,3,99,2,2,99,3,3,3,4,3,2,2,4,1,2,4,2,1,4,2,1,1,1,2,2,1,2,13,1,2,2,2,1,2,3
485,"12",1,1,1,0,0,0,0,0,1,1,2,2,1,3,7,3,5,6,3,5,3,3,5,1,3,3,1,3,4,1,5,3,5,3,3,3,3,4,4,1,1,1,3,3,3,1,1,1,2,14,6,66,2,2,1,4,4
486,"12",2,0,1,0,0,1,0,0,2,2,2,2,2,2,5,8,3,3,2,2,2,3,4,1,3,2,2,3,4,2,1,1,2,3,4,2,99,99,99,99,99,99,99,99,99,2,1,2,2,3,1,1,1,5,1,5,4
487,"12",1,0,1,0,0,0,0,0,1,4,2,1,2,1,7,0,0,7,1,4,1,1,4,1,2,4,1,2,2,1,5,4,3,1,5,2,1,99,99,1,99,99,2,99,99,2,1,1,2,13,5,66,99,2,4,2,5
488,"12",99,0,0,0,0,1,1,0,99,12,99,2,1,12,5,5,5,5,2,3,3,3,4,3,3,4,3,3,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,2,1,1,3,4,3,7
489,"12",2,1,1,0,0,1,0,0,3,3,2,1,1,1,5,1,4,3,3,3,3,1,4,4,5,2,3,4,2,2,3,3,3,2,2,4,1,3,3,1,3,3,5,3,3,1,5,1,1,7,3,66,1,3,1,3,4
490,"12",1,1,1,0,0,0,0,0,4,4,2,2,99,4,8,7,6,2,3,5,1,3,5,5,2,3,2,3,2,4,3,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,2,11,6,66,3,2,4,1,6
491,"12",2,1,0,1,1,0,0,0,3,3,3,1,2,3,2,3,8,5,3,3,2,2,3,2,3,4,1,2,2,2,3,2,2,3,3,2,1,3,2,1,3,2,1,2,2,1,1,1,2,14,6,66,3,3,1,2,6
492,"12",2,1,1,1,0,0,0,0,5,5,3,2,2,2,3,7,0,3,3,4,1,3,3,2,3,2,2,3,2,5,4,1,1,4,1,2,1,4,2,4,3,2,3,1,1,1,2,2,1,13,6,66,3,5,1,1,5
493,"12",2,1,1,0,1,1,0,0,99,8,3,2,1,5,0,5,0,0,4,4,1,5,5,4,3,2,3,99,99,99,99,1,1,1,2,5,1,3,1,1,2,1,5,1,5,1,4,1,2,8,2,3,1,5,1,2,3
494,"12",1,1,1,0,1,0,0,0,1,1,2,1,1,1,7,4,6,5,1,2,2,1,2,1,1,4,1,2,2,1,3,2,4,2,4,1,1,4,2,1,4,99,2,1,1,3,1,2,99,14,6,66,2,5,1,2,3
495,"12",2,0,0,0,0,1,0,0,1,12,3,1,1,1,6,4,3,4,1,4,4,2,2,3,3,2,2,3,2,2,2,3,3,2,3,2,1,2,1,1,2,1,2,1,1,1,2,1,1,10,1,2,2,5,1,6,5
496,"12",2,1,1,1,0,0,0,0,1,2,3,2,2,1,6,5,5,5,3,3,1,3,5,3,2,1,1,4,3,5,2,2,3,5,4,1,1,2,1,1,3,2,3,2,3,1,3,1,1,9,3,66,2,99,1,3,6
497,"12",1,1,0,0,0,0,0,0,1,1,2,2,2,8,99,99,99,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,15,99,66,2,99,1,3,99
498,"12",99,1,1,0,0,1,0,0,1,1,3,1,1,1,8,5,5,5,1,1,1,4,4,3,1,3,1,2,2,3,2,2,2,3,4,1,1,1,1,2,3,1,5,1,2,1,1,1,2,8,1,2,2,5,1,3,5
499,"12",1,0,1,0,0,0,0,0,2,2,2,1,1,12,5,5,5,5,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,6,3,66,3,3,1,5,5
500,"12",1,1,1,0,0,1,0,0,1,1,2,1,1,1,7,3,5,7,2,3,1,2,3,2,1,3,2,3,3,3,2,3,3,4,5,3,1,4,2,3,1,2,2,3,3,1,2,1,1,12,2,3,3,2,4,1,6
501,"12",2,1,1,0,0,0,0,0,2,3,3,1,2,2,5,6,3,6,99,1,99,99,99,99,1,5,99,99,99,99,99,99,99,3,99,99,99,1,99,99,3,99,4,99,99,1,2,1,2,15,6,66,3,3,1,3,5
502,"12",1,0,1,0,0,0,0,0,1,12,3,2,1,1,5,5,5,5,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,3,3,4,3,3,4,3,3,2,2,1,2,6,2,2,2,5,4,2,4
503,"12",2,0,1,0,0,1,0,0,5,6,3,1,2,12,3,3,3,4,2,3,1,3,4,2,2,3,2,4,3,4,2,2,3,3,3,2,1,3,2,3,3,3,4,2,2,1,4,1,2,11,2,3,2,5,1,2,5
504,"12",99,0,1,0,0,1,0,0,1,3,3,99,1,3,8,6,7,8,1,2,2,3,4,3,3,2,4,2,2,4,1,1,1,1,3,2,2,2,2,3,3,3,2,2,2,2,4,1,2,5,3,66,2,5,1,5,2
505,"12",2,1,1,1,0,0,0,0,2,2,3,2,2,12,3,6,2,3,3,4,1,3,3,3,3,2,2,3,4,4,1,1,2,5,1,2,1,99,99,5,99,99,5,99,99,1,3,1,2,13,5,66,2,2,1,2,4
506,"12",2,0,1,0,0,1,1,0,3,3,3,2,1,3,0,8,10,2,2,3,3,2,5,1,1,2,3,3,2,1,1,1,2,2,3,4,1,1,1,3,3,1,5,3,1,3,3,1,1,5,1,1,2,5,1,5,5
507,"12",1,1,1,1,0,0,0,0,4,4,2,2,2,4,4,3,2,6,3,3,1,3,4,2,3,2,3,3,2,3,1,1,1,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,7,5,66,2,2,2,3,4
508,"12",2,0,1,0,0,1,0,0,1,12,3,1,1,12,1,0,0,0,1,1,1,1,1,1,1,5,1,1,5,5,5,4,5,4,4,1,1,1,1,5,3,3,3,3,3,1,1,1,1,6,2,2,2,5,1,4,6
509,"12",2,0,1,0,1,1,0,0,10,10,2,1,1,1,5,0,0,4,1,2,3,2,5,3,1,2,2,1,2,4,3,3,4,2,3,1,1,2,1,2,5,2,2,1,1,3,3,1,2,12,5,66,2,5,2,3,3
510,"12",1,1,1,0,0,0,0,0,9,8,4,1,1,9,5,2,8,6,1,1,4,2,3,2,3,4,2,2,2,3,5,4,4,4,4,1,2,3,2,2,3,3,3,2,3,1,2,1,1,4,1,2,2,5,1,6,5
511,"12",1,1,1,1,0,0,0,0,1,2,2,2,2,1,8,99,99,10,5,5,1,5,5,4,4,5,1,4,5,1,5,4,4,5,2,4,1,5,1,1,4,2,5,1,1,1,1,5,2,14,5,66,2,2,1,2,4
512,"12",2,0,1,0,0,1,1,0,2,2,4,2,2,2,0,7,5,0,5,5,1,4,5,3,2,5,3,3,5,5,2,3,3,2,1,4,1,3,3,2,4,2,2,3,3,1,2,1,1,1,6,66,1,5,1,4,4
513,"12",1,1,1,0,0,0,0,0,1,1,2,1,2,1,8,6,4,7,2,4,2,2,1,2,2,5,1,3,3,5,5,5,1,5,5,5,1,3,2,2,1,1,5,2,4,5,5,1,1,15,6,66,2,2,1,2,4
514,"12",2,0,1,1,0,0,1,0,4,4,3,1,1,12,1,2,2,1,1,4,2,4,4,2,4,5,1,2,2,5,1,1,5,3,2,2,1,5,2,1,2,2,4,1,3,1,1,1,2,3,1,2,1,5,4,1,6
515,"12",1,1,1,0,0,0,0,0,1,1,2,1,1,1,8,0,6,6,1,3,3,3,3,1,2,5,4,1,2,5,3,2,1,4,5,1,1,5,3,1,5,2,2,5,3,4,3,1,2,4,2,3,1,2,4,3,4
