ccode,scode,country,uscrireg,region,source08,idp08,host08,source07,idp07,host07,source06,idp06,host06,source05,idp05,host05,source04,idp04,host04,source03,idp03,host03,source02,idp02,host02,source01,idp01,host01,source00,idp00,host00,source99,idp99,host99,source98,idp98,host98,source97,idp97,host97,source96,idp96,host96,source95,idp95,host95,source94,idp94,host94,source93,idp93,host93,source92,idp92,host92,source91,idp91,host91,source90,idp90,host90,source89,idp89,host89,source88,idp88,host88,source87,idp87,host87,source86,idp86,host86,source85,idp85,host85,source84,idp84,host84,source83,idp83,host83,source82,idp82,host82,source81,idp81,host81,source80,idp80,host80,source79,idp79,host79,source78,idp78,host78,source77,idp77,host77,source76,idp76,host76,source75,idp75,host75,source74,idp74,host74,source73,idp73,host73,source72,idp72,host72,source71,idp71,host71,source70,idp70,host70,source69,idp69,host69,source68,idp68,host68,source67,idp67,host67,source66,idp66,host66,source65,idp65,host65,source64,idp64,host64
371,ARM,Armenia,2,5,0,8,4,0,8,5,0,8,12,2,0,11,3,0,11,11,50,0,12,50,11,9,50,11,0,0,0,188,0,240,180,60,229,188,70,219,197,50,150,185,0,304,229,0,296,200,0,290,202,0,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,AUS,Austria,2,1,0,0,12,0,0,13,0,0,44,0,0,17,0,0,19,18,0,0,0,0,31,0,0,11,0,0,6,0,0,17,0,0,16,0,0,11,0,0,80,0,0,56,0,0,59,0,0,78,0,0,82,0,0,35,0,0,23,0,0,23,0,0,16,0,0,18,0,0,20,0,0,21,0,0,10,0,0,18,0,0,43,0,0,23,0,0,2,,,,0,0,0,0,0,2,0,0,2,,,,0,0,25,,,,0,0,25,0,0,25,0,0,25,0,0,36,0,0,43,0,0,24,0,0,0,0,0,0,0,0,2
373,AZE,Azerbaijan,2,5,4,588,3,4,687,3,11,663,3,11,558,3,11,528,10,10,571,0,0,576,11,0,572,7,0,575,4,230,568,222,218,576,235,218,550,244,238,550,249,390,670,238,374,630,279,290,600,251,350,216,246,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,BLR,Belarus,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,4,0,0,3,0,0,3,0,0,3,0,0,16,0,0,34,0,0,11,0,0,7,0,0,19,0,0,10,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,BEL,Belgium,2,1,0,0,7,0,0,7,0,0,18,0,0,14,0,0,25,33,0,0,0,0,30,0,0,41,0,0,46,0,0,42,0,0,26,0,0,14,0,0,18,0,0,16,0,0,19,0,0,33,0,0,19,0,0,15,0,0,13,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,28,0,0,1,,,,0,0,2,0,0,2,0,0,2,,,,0,0,29,,,,0,0,29,0,0,29,0,0,47,0,0,47,0,0,47,0,0,47,0,0,0,0,0,0,0,0,0
346,BOS,Bosnia,2,2,21,125,7,30,125,7,30,180,10,28,183,11,30,309,23,23,327,142,160,368,34,210,439,33,250,518,38,300,830,60,424,836,40,557,800,40,1006,1000,0,906,1300,0,863,1300,0,0,1300,70,0,740,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,BUL,Bulgaria,2,2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,1,0,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,,,,999,0,0,999,0,0,999,0,0,,,,999,0,0,,,,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0
344,CRO,Croatia,2,2,53,2,3,76,3,3,57,6,3,60,0,3,70,0,4,4,13,209,251,17,8,272,23,22,315,34,22,340,50,24,309,61,27,335,110,50,300,185,167,200,240,190,137,290,188,0,350,280,0,340,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,CYP,Cyprus,2,5,0,200,10,0,210,10,0,210,13,0,150,14,0,0,11,5,265,0,0,265,2,0,265,1,0,265,0,0,265,0,0,265,0,0,265,0,0,265,0,0,265,0,0,265,0,0,265,0,0,265,0,0,268,0,0,268,10,0,265,1,0,265,0,0,240,0,0,240,0,0,0,0,0,0,0,0,0,0,0,200,0,0,200,0,10,193,0,,,,2,200,0,0,200,3,0,200,3,,,,0,200,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,CZR,Czech Republic,2,2,0,0,3,0,0,3,0,0,5,0,0,0,0,0,3,4,0,0,0,0,6,0,0,11,0,0,5,0,0,2,0,0,2,0,0,1,0,0,3,0,0,2,0,0,5,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
