year,ku,kun,status,name,party,party_code,previous,wl,voteshare,age,nocand,rank,vote,eligible,turnout,exp
2003,chiba,7,0,"MATSUMOTO, KAZUMI",LDP,1,0,0,4106,38,4,2,83899,382440,5506,12858268
2003,niigata,4,1,"KURIHARA, HIROHISA",LDP,1,3,0,3906,56,3,2,83880,321244,6705,11534005
2014,gunma,3,1,"SASAGAWA, HIROYOSHI",LDP,1,2,1,5602,48,3,1,83837,0,0,0
2000,wakayama,1,0,"TANIMOTO, TATSUYA",independent,99,1,1,4508,33,3,1,83830,315298,6007,12468695
2014,kochi,2,1,"yAMAMOTO, YUJI",LDP,1,9,1,5306,62,3,1,83764,0,0,0
2005,mie,5,0,"KANEKO, YOICHI",DPJ,3,0,0,3908,43,3,2,83737,297377,72,11364871
2003,kyoto,1,1,"IBUKI, BUNMEI",LDP,1,7,1,4203,65,3,1,83644,377322,5309,16626279
2014,niigata,6,1,"TAKATORI, SHUICHI",LDP,1,3,1,5207,54,3,1,83638,0,0,0
2000,tokyo,5,0,"TEZUKA, YOSHIO",DPJ,3,1,1,3409,33,6,1,83619,417816,5904,6566110
2005,osaka,10,2,"MATSUNAMI, KENTA",LDP,1,2,1,3804,34,4,1,83607,313035,7005,5215091
2000,aichi,7,0,"SUZUKI, JUNJI",LDP,1,0,0,3702,42,6,2,83601,380956,6009,17953916
2003,tokyo,7,0,"MATSUMOTO, FUMIAKI",LDP,1,0,0,36,54,5,2,83588,430428,5503,0
2012,hokkaido,2,2,"YOSHIKAWA, TAKAMORI",LDP,1,3,1,35,62,5,1,83575,442115,5509,8801680
2003,hokkaido,2,1,"YOSHIKAWA, TAKAMORI",LDP,1,2,0,3503,53,5,2,83573,422095,5705,12861992
2000,osaka,8,1,"NAKANO, KANSEI",DPJ,3,9,1,4804,59,4,1,83566,315805,5604,10502309
2014,saitama,10,1,"YAMAGUCHI, TAIMEI",LDP,1,6,1,4704,66,3,1,83544,0,0,0
2017,tokyo,12,0,"IKEUCHI, SAORI",JCP,2,1,0,38032,35,3,2,83544,0,0,0
2014,fukuoka,2,2,"INATOMI, SHUJI",DPJ,3,1,0,4004,44,4,2,83535,0,0,0
2005,kanagawa,15,0,"KATSUMATA, KOICHIRO",DPJ,3,0,0,2806,42,3,2,83490,446440,6607,12952197
1996,hokkaido,13,1,"KITAMURA, NAOTO",NFP,8,4,1,4208,49,4,1,83490,288283,6808,22114325
2014,kanagawa,14,2,"MOTOMURA, KENTARO",DPJ,3,2,2,36,44,4,2,83485,0,0,0
2014,tokyo,7,1,"MATSUMOTO, FUMIAKI",LDP,1,3,2,3507,65,4,2,83476,0,0,0
2017,gunma,3,1,"SASAGAWA, HIROYOSHI",LDP,1,2,1,5503,51,2,1,83446,0,0,0
2009,chiba,5,1,"SONOURA, KENTARO",LDP,1,1,0,3205,37,4,2,83422,413805,6304,16278198
2014,saga,1,1,"IWATA, KAZUCHIKA",LDP,1,2,2,4601,41,3,2,83421,0,0,0
2000,wakayama,2,1,"KISHIMOTO, MITSUZO",LDP,1,3,1,5805,59,4,1,83419,234713,6308,13881809
2017,kanagawa,17,1,"KAMIYAMA, YOSUKE",POH,39,2,0,36055,42,3,2,83407,0,0,0
2012,osaka,18,0,"KAMIYA, NOBORU",LDP,1,0,0,3603,63,4,2,83388,425951,5509,6359749
1996,tochigi,4,1,"YAMAOKA, KENJI",NFP,8,1,0,3707,53,4,2,83383,368921,6105,18488843
2005,hyogo,2,1,"IZUMI, FUSAHO",DPJ,3,1,0,3708,42,3,2,83380,355855,6404,6387317
2003,hyogo,2,1,"AKABA, KAZUYOSHI",CGP,5,3,1,4302,45,3,1,83379,354041,5609,9727360
2003,tokyo,18,1,"HATOYAMA, KUNIO",LDP,1,9,2,3409,55,3,2,83337,389002,6204,15662126
2014,kanagawa,12,1,"HOSHINO, TSUYOSHI",LDP,1,2,1,4204,51,4,1,83327,0,0,0
2005,hyogo,8,1,"MUROI, KUNIHIKO",DPJ,3,1,0,3501,58,4,2,83288,378774,6404,6506973
2017,kyoto,4,1,"TANAKA, HIDEYUKI",LDP,1,2,1,42045,47,4,1,83286,0,0,0
1996,osaka,13,1,"SHIOKAWA, MASAJURO",LDP,1,10,0,3709,75,4,2,83254,396605,5604,17809529
2003,nara,2,1,"NAKAMURA, TETSUJI",DPJ,3,2,1,4804,32,3,1,83168,296265,6003,5222163
2003,shiga,4,1,"IWANAGA, MINEICHI",LDP,1,3,1,4608,62,3,1,83149,281512,6402,12055556
2003,yamanashi,3,1,"HOSAKA, TAKESHI",LDP,1,2,1,5209,58,3,1,83107,244484,6601,12711859
2014,Fukui,2,1,"TAKAGI, TSUYOSHI",LDP,1,6,1,6105,58,3,1,83086,0,0,0
2003,osaka,10,1,"HIDA, MIYOKO",DPJ,3,3,1,4701,62,4,1,83077,311608,58,7251073
1996,iwate,2,1,"KUDO, KENTARO",NFP,8,1,0,4102,54,4,2,83038,309158,6606,17791444
1996,kanagawa,14,1,"FUJII, HIROHISA",NFP,8,2,1,3609,64,5,1,83010,446970,5107,13713640
2017,hiroshima,3,1,"KAWAI, KATSUYUKI",LDP,1,6,1,47037,54,6,1,82998,0,0,0
2005,niigata,5,0,"YONEYAMA, RYUICHI",LDP,1,0,0,4003,38,3,2,82993,286954,7307,11145151
2003,kanagawa,16,0,"NAGATA, HIDETOMO",DPJ,3,0,0,3607,29,3,2,82967,420308,5504,5908431
2000,tokyo,3,0,"NAITO, SHO",LDP,1,0,0,3301,53,7,2,82954,434732,5907,11516686
2000,aichi,5,1,"AKAMATSU, HIROTAKA",DPJ,3,3,1,4803,52,4,1,82943,322895,5405,13001319
2014,toyama,2,1,"MIYAKOSHI, MITSUHIRO",LDP,1,7,1,7006,63,3,1,82898,0,0,0
2005,kanagawa,9,1,"RYU, HIROFUMI",DPJ,3,2,2,4405,40,3,2,82878,281203,6704,9926435
